full_tweets,location,quote_count,reply_count,retweet_count,favorite_count,language
حرام عليكم حياتنا في خطر أختي عندها كورونا لو عديت حد مليش دعوه عشان مش هشيل سنة عشان خاطر الوزارة و منكم للهإستغاثة,unknown,0,0,4,4,ar
عذرا يا دكتور لو تسمحلي أعلق بأدب ومين قال لحضرتك ان التطعيم يحمي من الاصابه بفيروس كوروناالتطعيم وظيفته إنك حينما تصاب بكورونا لا يسبب لك المرض مضاعفات التطعيم ما هوا الا حمايه للجسم بالأضافه ان التطعيم فعال بنسبة 95  يعني 5 في المئة معرضين للمضاعفات عادي,"Hawally, Kuwait",0,0,0,0,ar
موظفونخارجالسلطنةضدقراراللجنة نعلم اللجنة العليا بأن العمانيين العاملين بدولة الإمارات الغلبية العظمى منهم أخذوا,unknown,0,2,4,3,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكة,المملكة العربية السعودية,0,12,12,32,ar
هما تقلصت الاجراءات الاحترازيه حقت كورونا لانهم يبغون يفتحونه ولاعاد فيه اي اجراءات او اغلاق,unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
"صحتك تهمنا ، نتعاون ولا نتهاون الصحة تعليمالزلفي كورونا",unknown,0,0,18,8,ar
س  تم تشخيصي بفيروس كورونا بعد الجرعج الأولى من التطعيم بواسطة مسحة الحلقهل من الممكن ان يسبب التطعيم الاصابة بالفيروس؟جق,saudi -Riyadh,0,4,6,11,ar
بيي كان صرلو ٣ سنين بلا شغلاجاه تركيبة ستلايت يطلع من وراها ٧٥ ألف و قبلللأسف راح بيي عند الجماعة و لقط كورونا و الوال,unknown,1,3,8,6,ar
"الرئيس التنفيذي  د عبدالعزيز الحميضي،تجمعحائلالصحي، يتابع سير العمل في المركز الرئيسي للقاحات كورونا، ورافقه خلال الجو",🇪🇬⁩ ,0,0,92,13,ar
حفظ الله سموه الكريم من كل مكروه وحفظ الله لنا قيادتنا الحكيمة و أدام عزها بعد التوكل على الله تم حجز موعد لأخذ الجرعة الاولى من لقاح كورونا كوفيد١٩ عن طريق تطبيقصحتي,unknown,0,0,0,0,ar
عندي سؤال محتاجه إجابته  من بداية أزمة كورونا الى الآن  منو صاحب التوصيات الصحية بالإغلاقات حتى للمشاريع الصغيرة,مصر  المنصوره   دقهليه,1,17,4,38,ar
نتمنى تتكلمون عن معاناة الموظفين العمانيين في الامارات المفروض يستثنونهم من الحجر المؤسسي ايضا مثل ما استثنو اهل مسندم ايضا,unknown,0,0,4,3,ar
صوت صفارات الإنذار في مدینة رامهرمز من محافظة خوزستان حالة قلق تسود مدینة رامهرمز بسبب تفشي مرض کورونا بشکل واسع النطاق والنظام لایزال یماطل شراء لقاح کورونا و تطعیم المواطنینإیران نظامالملاليالقمعالإرهاب,unknown,0,0,0,0,ar
"يغلقون اماكن تقوية المناعة مثل النوادي وصالات الرياضة ، ويفتحون المطار لجلب المزيد من الفايروسات ،، هل يعلمون ان حيا",unknown,0,2,12,7,ar
قامت قطر مؤخرا بإعفاء مواطنيها الذين تلقوا جرعتي لقاح من متطلبات الحجر الصحيونتمنى من وزارة الصحة الكويتية إعفاء من تلق,kuwait,1,4,39,23,ar
نادي الباطن يعلّق تدريبات الفريق الأول حتى اشعار آخر بعد إصابة عدد من لاعبيه بفايروس كوروناوالفريق لم يجرِ أي تمرين ب,الرياض,3,17,24,20,ar
نسبة الوفيات بسبب الاصابة بفيروس كورونا عم بتزيد كل يوم  كرمال كل الوجع اللي عم نعيشه كل يوم اللقاحواجب واجب لتحمي عيلتك وكل اللي بتحبهم,بيروت - لبنان,0,0,0,0,ar
معلومات عن لقاح سبوتنيكاللقاحواجب,unknown,0,0,3,1,ar
"دام اهم مو رادين على أحد من الشعب ،،الحل إن قراراتهم الغبية تمس مصلحة مرزوق الغانملأن هذي الحالة الوحيدة اللي راح يعفس فيها مجلس الوزراء بكبره لدرجة ما استبعد يطلعون يصرحون بالتغلب على كورونا ، ولا يزعل مرزوق",unknown,0,0,0,0,ar
أول ما انحكى عن انو صار في لقاح للcovid19 اكيد كنت ضد الموضوع مش لأني أخبر من الأطباء بس كان عندي خوف وخاصة بعد الاشا,unknown,0,0,11,8,ar
مقال في جريدة الاندبندنت يتحدث عن ٣ دراسات بتواريخها يظهر وفاة  شخص من كل ١٠ متعافين من كورونا خلال اشهر بسيطة بسبب مضاعفات,Kuwait,0,0,4,5,ar
